ID Year weak_two_nv_1st
deal_848 1957 NA
deal_849 1957 NA
deal_850 1957 NA
deal_851 1957 NA
deal_852 1957 NA
deal_853 1957 NA
deal_854 1957 NA
deal_855 1957 NA
deal_856 1957 NA
deal_857 1957 NA
deal_858 1957 NA
deal_859 1957 NA
deal_860 1957 NA
deal_861 1957 NA
deal_862 1957 NA
deal_863 1957 NA
deal_864 1957 NA
deal_865 1957 NA
deal_866 1957 NA
deal_867 1957 NA
deal_868 1957 NA
deal_869 1957 NA
deal_870 1957 NA
deal_871 1957 NA
deal_872 1957 NA
deal_873 1957 NA
deal_874 1957 NA
deal_875 1957 NA
deal_876 1957 NA
deal_877 1957 NA
deal_878 1957 NA
deal_879 1957 NA
deal_880 1957 NA
deal_881 1957 NA
deal_882 1957 NA
deal_883 1957 NA
deal_884 1957 NA
deal_885 1957 NA
deal_886 1957 2
deal_887 1957 0
deal_888 1957 NA
deal_889 1957 NA
deal_890 1957 2
deal_891 1957 0
deal_892 1957 NA
deal_893 1957 NA
deal_894 1957 NA
deal_895 1957 NA
deal_896 1959 NA
deal_897 1959 NA
deal_898 1959 NA
deal_899 1959 NA
deal_900 1959 NA
deal_901 1959 NA
deal_902 1959 NA
deal_903 1959 NA
deal_904 1959 NA
deal_905 1959 NA
deal_906 1959 NA
deal_907 1959 NA
deal_908 1959 NA
deal_909 1959 NA
deal_910 1959 NA
deal_911 1959 NA
deal_912 1959 NA
deal_913 1959 NA
deal_914 1959 NA
deal_915 1959 NA
deal_916 1959 NA
deal_917 1959 NA
deal_918 1959 NA
deal_919 1959 NA
deal_920 1959 NA
deal_921 1959 NA
deal_922 1959 NA
deal_923 1959 NA
deal_924 1959 NA
deal_925 1959 NA
deal_926 1959 NA
deal_927 1959 NA
deal_928 1959 NA
deal_929 1959 NA
deal_930 1959 NA
deal_931 1959 NA
deal_932 1959 NA
deal_933 1959 NA
deal_934 1959 NA
deal_935 1959 NA
deal_936 1959 NA
deal_937 1959 NA
deal_938 1959 NA
deal_939 1959 NA
deal_940 1959 NA
deal_941 1959 NA
deal_942 1959 NA
deal_943 1959 NA
deal_944 1959 NA
deal_945 1959 NA
deal_946 1959 NA
deal_947 1959 NA
deal_948 1959 NA
deal_949 1959 NA
deal_950 1959 NA
deal_951 1959 NA
deal_952 1959 NA
deal_953 1959 NA
deal_954 1959 NA
deal_955 1959 NA
deal_956 1959 NA
deal_957 1959 NA
deal_958 1959 NA
deal_959 1959 NA
deal_960 1959 0
deal_961 1959 0
deal_962 1959 NA
deal_963 1959 NA
deal_964 1959 NA
deal_965 1959 NA
deal_966 1959 NA
deal_967 1959 NA
deal_968 1959 NA
deal_969 1959 NA
deal_970 1959 NA
deal_971 1959 NA
deal_972 1959 NA
deal_973 1959 NA
deal_974 1959 NA
deal_975 1959 NA
deal_976 1959 NA
deal_977 1959 NA
deal_978 1959 NA
deal_979 1959 NA
deal_980 1959 NA
deal_981 1959 NA
deal_982 1959 NA
deal_983 1959 NA
deal_984 1959 NA
deal_985 1959 NA
deal_986 1959 NA
deal_987 1959 NA
deal_988 1959 NA
deal_989 1959 NA
deal_990 1959 NA
deal_991 1959 NA
deal_992 1959 NA
deal_993 1959 NA
deal_994 1959 NA
deal_995 1959 NA
deal_996 1959 NA
deal_997 1959 NA
deal_998 1959 NA
deal_999 1959 NA
deal_1000 1959 NA
deal_1001 1959 NA
deal_1002 1959 NA
deal_1003 1959 NA
deal_1004 1959 NA
deal_1005 1959 NA
deal_1006 1959 NA
deal_1007 1959 NA
deal_1008 1959 NA
deal_1009 1959 NA
deal_1010 1959 NA
deal_1011 1959 NA
deal_1012 1959 NA
deal_1013 1959 NA
deal_1014 1959 NA
deal_1015 1959 NA
deal_1016 1959 NA
deal_1017 1959 NA
deal_1018 1959 NA
deal_1019 1959 NA
deal_1020 1959 NA
deal_1021 1959 NA
deal_1022 1959 NA
deal_1023 1959 NA
deal_1024 1959 NA
deal_1025 1959 NA
deal_1026 1959 NA
deal_1027 1959 NA
deal_1028 1959 NA
deal_1029 1959 NA
deal_1030 1959 NA
deal_1031 1959 NA
deal_1032 1959 NA
deal_1033 1959 NA
deal_1034 1959 NA
deal_1035 1959 NA
deal_1036 1959 NA
deal_1037 1959 NA
deal_1038 1959 0
deal_1039 1959 2
deal_1040 1959 NA
deal_1041 1959 NA
deal_1042 1959 NA
deal_1043 1959 NA
deal_1044 1959 NA
deal_1045 1959 NA
deal_1046 1959 NA
deal_1047 1959 NA
deal_1048 1959 NA
deal_1049 1959 NA
deal_1050 1959 NA
deal_1051 1959 NA
deal_1052 1959 NA
deal_1053 1959 NA
deal_1054 1959 NA
deal_1055 1959 NA
deal_1056 1959 NA
deal_1057 1959 NA
deal_1058 1959 NA
deal_1059 1959 NA
deal_1060 1959 NA
deal_1061 1959 NA
deal_1062 1959 NA
deal_1063 1959 NA
deal_1064 1959 NA
deal_1065 1959 NA
deal_1066 1959 NA
deal_1067 1959 NA
deal_1068 1959 NA
deal_1069 1959 NA
deal_1070 1959 NA
deal_1071 1959 NA
deal_1072 1959 NA
deal_1073 1959 NA
deal_1074 1959 NA
deal_1075 1959 NA
deal_1076 1959 NA
deal_1077 1959 NA
deal_1078 1959 NA
deal_1079 1959 NA
deal_1080 1959 NA
deal_1081 1959 NA
deal_1082 1959 NA
deal_1083 1959 NA
deal_1084 1959 NA
deal_1085 1959 NA
deal_1086 1959 NA
deal_1087 1959 NA
deal_1088 1959 NA
deal_1089 1959 NA
deal_1090 1959 NA
deal_1091 1959 NA
deal_1092 1959 NA
deal_1093 1959 NA
deal_1094 1959 NA
deal_1095 1959 NA
deal_1096 1959 NA
deal_1097 1959 NA
deal_1098 1959 NA
deal_1099 1959 NA
deal_1100 1959 NA
deal_1101 1959 NA
deal_1102 1959 NA
deal_1103 1959 NA
deal_1104 1959 NA
deal_1105 1959 NA
deal_1106 1959 NA
deal_1107 1959 NA
deal_1108 1959 NA
deal_1109 1959 NA
deal_1110 1959 NA
deal_1111 1959 NA
deal_1112 1959 NA
deal_1113 1959 NA
deal_1114 1959 NA
deal_1115 1959 NA
deal_1116 1959 NA
deal_1117 1959 NA
deal_1118 1959 NA
deal_1119 1959 NA
deal_1120 1959 NA
deal_1121 1959 NA
deal_1122 1959 NA
